lead_id,age,location,industry,job_role,company_size,website_visits,email_opens,time_spent_on_site,click_through_rate,past_purchases,inquiry_responses,lead_source,lead_quality,lead_score
MLO_00000036,30,North America,Retail,Student,Medium,4,7,14.93,0.19,2,2,Paid Ads,Medium,64.03
MLO_00000037,47,North America,Finance,Other,Small,3,3,11.98,0.21,0,1,Organic,Low,30.36
MLO_00000038,23,Asia,Healthcare,Freelancer,Small,3,3,11.32,0.26,0,0,Referral,Low,25.1
MLO_00000039,41,Europe,Retail,Other,Small,5,5,7.81,0.27,2,3,Paid Ads,Medium,60.21
MLO_00000040,49,South America,Finance,Freelancer,Small,3,2,24.71,0.29,0,0,Social Media,Low,20.99
MLO_00000041,28,North America,Retail,Executive,Small,4,0,26.58,0.25,1,0,Social Media,Medium,26.35
MLO_00000042,29,Asia,Retail,Executive,Medium,3,2,26.76,0.3,0,1,Organic,Medium,33.88
MLO_00000043,56,Europe,Retail,Other,Medium,6,3,12.49,0.14,2,3,Paid Ads,Medium,52.33
MLO_00000044,35,Europe,Manufacturing,Student,Medium,9,2,8.52,0.09,1,1,Other,Medium,40.25
MLO_00000045,38,Asia,Healthcare,Manager,Small,5,5,3.85,0.36,2,3,Paid Ads,Low,61.46
MLO_00000046,57,Asia,Finance,Student,Large,6,5,20.5,0.09,0,4,Organic,Medium,62.08
MLO_00000047,25,North America,Finance,Student,Medium,4,0,10.57,0.24,3,3,Other,Medium,51.75
MLO_00000048,23,South America,Healthcare,Manager,Small,3,2,9.02,0.17,1,1,Organic,High,39.26
MLO_00000049,27,Europe,Healthcare,Executive,Large,9,4,11.77,0.43,2,4,Referral,Low,72.56
MLO_00000050,25,South America,Healthcare,Executive,Medium,3,2,17.09,0.44,0,3,Social Media,High,37.97
MLO_00000051,50,Europe,Healthcare,Manager,Medium,9,3,5.7,0.25,1,2,Organic,Medium,65.04
MLO_00000052,39,Europe,IT,Freelancer,Small,4,0,28.88,0.22,0,1,Paid Ads,Medium,29.94
MLO_00000053,47,South America,Finance,Student,Medium,8,5,22.25,0.22,0,4,Paid Ads,High,58.05
MLO_00000054,55,Asia,IT,Other,Large,3,4,2.36,0.27,2,2,Organic,Medium,44.23
MLO_00000055,31,North America,Retail,Executive,Medium,3,1,9.9,0.34,3,4,Social Media,High,56.4
MLO_00000056,57,Europe,Retail,Other,Medium,5,5,2.46,0.59,1,3,Organic,Medium,73.12
MLO_00000057,35,Asia,Finance,Manager,Medium,8,3,7.66,0.14,2,3,Organic,High,54.25
MLO_00000058,52,Europe,Retail,Other,Large,3,3,9.31,0.27,1,4,Paid Ads,High,51.32
MLO_00000059,36,North America,Healthcare,Other,Small,4,4,21.82,0.23,0,4,Paid Ads,Low,57.57
MLO_00000060,29,Europe,IT,Student,Medium,8,3,21.84,0.2,0,3,Paid Ads,Low,50.3
MLO_00000061,35,North America,Healthcare,Manager,Small,3,4,2.31,0.21,1,0,Social Media,High,33.3
MLO_00000062,44,North America,Retail,Other,Medium,3,3,18.06,0.24,1,4,Paid Ads,High,58.6
MLO_00000063,42,Europe,IT,Executive,Medium,2,4,28.87,0.27,0,0,Other,Medium,25.49
MLO_00000064,37,Europe,Healthcare,Manager,Small,7,2,19.22,0.29,3,3,Other,Medium,69.68
MLO_00000065,39,North America,Finance,Executive,Medium,2,4,28.86,0.3,3,2,Organic,High,51.82
MLO_00000066,45,Asia,Healthcare,Freelancer,Medium,6,4,12.04,0.11,2,2,Organic,Medium,46.44
MLO_00000067,47,South America,Retail,Other,Small,5,3,14.33,0.18,2,1,Referral,High,47.18
MLO_00000068,46,North America,IT,Manager,Medium,6,4,15.37,0.3,1,1,Other,Medium,44.22
MLO_00000069,50,Europe,Finance,Executive,Small,2,2,27.79,0.39,0,3,Social Media,High,31.05
MLO_00000070,36,Europe,IT,Other,Medium,10,4,12.03,0.3,1,4,Organic,Medium,83.7
MLO_00000071,22,Asia,Finance,Student,Small,3,0,29.52,0.22,2,2,Organic,High,36.51
MLO_00000072,46,South America,IT,Executive,Medium,6,4,16.75,0.3,2,4,Social Media,High,65.2
MLO_00000073,28,North America,Retail,Executive,Medium,5,4,7.33,0.28,1,0,Other,Medium,38.43
MLO_00000074,30,North America,Finance,Freelancer,Medium,7,4,4.01,0.15,1,3,Referral,Medium,65.5
MLO_00000075,45,South America,Manufacturing,Student,Small,6,3,6.01,0.23,1,1,Social Media,High,52.27
MLO_00000076,22,North America,IT,Freelancer,Large,7,3,2.14,0.27,0,3,Referral,Medium,47.53
MLO_00000077,29,South America,IT,Student,Medium,4,5,21.08,0.32,0,1,Referral,High,43.98
MLO_00000078,45,Europe,Healthcare,Executive,Small,7,1,15.99,0.39,2,3,Organic,High,53.87
MLO_00000079,32,South America,Finance,Freelancer,Large,2,2,22.4,0.43,0,3,Other,Medium,43.64
MLO_00000080,38,North America,Manufacturing,Other,Small,6,6,23.69,0.08,0,1,Referral,Low,42.91
MLO_00000081,29,South America,Retail,Student,Medium,7,10,28.01,0.23,2,0,Social Media,Low,58.64
MLO_00000082,56,Asia,Healthcare,Executive,Medium,5,3,4.39,0.4,1,3,Other,Medium,47.73
MLO_00000083,56,Europe,Manufacturing,Manager,Medium,4,4,6.4,0.33,1,2,Paid Ads,Low,54.89
MLO_00000084,54,Europe,Finance,Student,Large,5,4,16.9,0.33,1,3,Paid Ads,Medium,51.52
MLO_00000085,26,South America,Manufacturing,Student,Medium,2,2,4.76,0.18,3,4,Social Media,Medium,56.95
MLO_00000086,49,North America,IT,Other,Small,8,3,3.69,0.18,0,2,Paid Ads,Medium,48.47
MLO_00000087,28,Asia,IT,Student,Large,5,3,20.32,0.32,3,4,Other,Medium,62.12
MLO_00000088,30,Europe,Healthcare,Student,Large,6,1,22.02,0.2,2,1,Other,Medium,38.59
MLO_00000089,29,Europe,Finance,Other,Medium,5,3,25.46,0.14,0,1,Organic,Low,29.53
MLO_00000090,33,North America,Finance,Other,Medium,6,5,27.56,0.26,1,1,Other,Medium,48.27
MLO_00000091,55,North America,Manufacturing,Freelancer,Small,8,2,13.83,0.23,1,4,Referral,Medium,47.53
MLO_00000092,54,Asia,Healthcare,Executive,Medium,7,1,29.42,0.34,0,1,Organic,Low,34.99
MLO_00000093,44,South America,Finance,Executive,Small,0,4,2.1,0.29,1,2,Referral,Medium,34.61
MLO_00000094,45,North America,IT,Freelancer,Small,4,3,26.23,0.44,1,1,Other,Medium,43.34
MLO_00000095,58,South America,Manufacturing,Executive,Medium,7,3,10.32,0.15,0,3,Organic,Medium,51.08
MLO_00000096,56,Asia,Retail,Student,Small,7,0,27.73,0.25,2,4,Social Media,Medium,57.64
MLO_00000097,43,South America,IT,Freelancer,Small,2,2,7.46,0.31,1,4,Social Media,High,42.35
MLO_00000098,48,Europe,Healthcare,Freelancer,Medium,3,0,22.49,0.3,3,4,Social Media,Medium,46.45
MLO_00000099,56,South America,Finance,Executive,Small,9,1,13.34,0.28,2,4,Organic,Medium,62.12
MLO_00000100,22,Asia,IT,Manager,Small,7,2,12.06,0.08,0,0,Other,High,34.8
MLO_00000101,56,Asia,Retail,Executive,Small,8,3,2.72,0.05,2,1,Other,Low,44.83
MLO_00000102,58,Asia,Retail,Manager,Small,4,7,21.47,0.14,0,3,Organic,Medium,50.77
MLO_00000103,35,South America,Healthcare,Freelancer,Medium,2,1,6.09,0.3,1,3,Organic,Medium,30.52
MLO_00000104,24,Europe,IT,Manager,Large,6,3,14.43,0.06,0,4,Paid Ads,Medium,51.2
MLO_00000105,22,North America,Manufacturing,Student,Medium,2,5,5.1,0.32,0,3,Paid Ads,Medium,45.45
MLO_00000106,26,Europe,IT,Other,Medium,4,1,18.53,0.22,0,1,Organic,High,19.57
MLO_00000107,47,South America,Retail,Manager,Small,9,3,7.7,0.22,1,2,Social Media,Medium,49.62
MLO_00000108,35,South America,Healthcare,Other,Small,4,3,18.24,0.44,2,3,Other,Medium,61.29
MLO_00000109,48,North America,Healthcare,Student,Small,3,1,28.45,0.43,1,0,Social Media,Medium,29.1
MLO_00000110,30,South America,Manufacturing,Other,Medium,4,0,27.71,0.18,3,4,Referral,Medium,45.82
MLO_00000111,36,Asia,Healthcare,Student,Medium,2,3,6.81,0.33,2,2,Referral,High,48.48
MLO_00000112,36,Asia,Healthcare,Other,Medium,7,1,3.88,0.25,2,2,Referral,Medium,54.13
MLO_00000113,47,Asia,Healthcare,Other,Small,7,2,2.24,0.34,0,4,Social Media,Medium,57.61
MLO_00000114,34,Asia,Healthcare,Executive,Small,2,5,25.03,0.21,0,4,Paid Ads,Medium,50.6
MLO_00000115,53,Asia,Healthcare,Manager,Medium,4,3,8.23,0.12,0,3,Referral,Medium,50.06
MLO_00000116,53,South America,Retail,Other,Small,4,2,9.23,0.25,2,4,Organic,Medium,61.86
MLO_00000117,25,North America,IT,Freelancer,Medium,5,6,7.56,0.33,1,0,Other,High,49.01
MLO_00000118,51,North America,Finance,Executive,Medium,6,2,25.36,0.24,1,1,Paid Ads,Medium,45.33
MLO_00000119,58,Asia,Healthcare,Manager,Medium,6,2,29.39,0.33,2,2,Referral,Medium,54.94
MLO_00000120,44,South America,Finance,Executive,Large,8,4,22.9,0.38,1,4,Other,High,65.83
MLO_00000121,36,Europe,Finance,Manager,Large,4,2,24.88,0.37,0,3,Other,Medium,52.0
MLO_00000122,50,Europe,Retail,Student,Medium,1,6,18.99,0.3,0,4,Paid Ads,Medium,62.84
MLO_00000123,57,South America,Healthcare,Other,Medium,4,5,16.33,0.12,1,0,Social Media,Medium,44.78
MLO_00000124,34,Asia,Finance,Freelancer,Small,6,4,21.93,0.05,1,4,Other,Low,60.1
MLO_00000125,53,North America,Healthcare,Executive,Large,3,2,2.04,0.31,1,0,Paid Ads,Medium,34.63
MLO_00000126,28,South America,Manufacturing,Executive,Medium,4,4,2.78,0.33,2,4,Referral,Medium,61.03
MLO_00000127,43,Europe,Manufacturing,Executive,Small,1,1,20.93,0.25,2,1,Paid Ads,High,35.29
MLO_00000128,49,Europe,Manufacturing,Executive,Medium,7,4,10.72,0.28,0,3,Social Media,Medium,46.9
MLO_00000129,23,Europe,Finance,Other,Small,2,3,15.18,0.24,2,0,Referral,Low,31.32
MLO_00000130,27,Asia,Manufacturing,Manager,Medium,9,4,23.68,0.26,0,4,Social Media,Medium,48.71
MLO_00000131,49,Europe,Retail,Other,Medium,6,6,17.74,0.29,2,2,Other,High,66.87
MLO_00000132,49,South America,Retail,Student,Small,5,6,24.35,0.34,0,0,Paid Ads,Low,50.25
MLO_00000133,41,South America,Finance,Other,Small,10,4,13.16,0.26,1,1,Organic,Medium,66.45
MLO_00000134,51,Europe,Healthcare,Other,Large,7,2,9.34,0.25,0,1,Social Media,Low,35.83
MLO_00000135,32,South America,IT,Student,Medium,5,1,7.81,0.24,0,2,Paid Ads,Medium,34.67
MLO_00000136,49,Europe,Healthcare,Other,Large,4,3,4.82,0.27,1,4,Organic,Medium,53.11
MLO_00000137,46,Europe,Healthcare,Manager,Small,11,1,2.07,0.05,2,4,Organic,Medium,73.16
MLO_00000138,54,North America,Healthcare,Freelancer,Medium,4,2,2.54,0.34,1,4,Paid Ads,High,53.27
MLO_00000139,22,Asia,Healthcare,Student,Medium,3,2,8.86,0.23,0,4,Referral,Medium,52.56
MLO_00000140,48,Asia,IT,Executive,Small,1,1,9.07,0.17,0,4,Organic,High,39.07
MLO_00000141,34,North America,Manufacturing,Manager,Small,7,2,12.07,0.39,0,2,Paid Ads,Low,49.79
MLO_00000142,24,North America,Healthcare,Freelancer,Small,5,2,18.16,0.22,0,1,Paid Ads,Low,28.26
MLO_00000143,27,Asia,Retail,Manager,Small,7,2,23.02,0.15,1,2,Referral,High,37.82
MLO_00000144,29,Europe,Finance,Manager,Large,5,5,6.73,0.32,0,3,Paid Ads,Low,54.93
MLO_00000145,48,Europe,Finance,Executive,Small,2,2,23.02,0.2,1,3,Social Media,High,38.9
MLO_00000146,30,Asia,Retail,Freelancer,Medium,5,4,5.03,0.21,0,0,Social Media,Medium,26.78
MLO_00000147,58,Europe,Healthcare,Manager,Medium,9,2,29.67,0.34,0,4,Referral,High,64.97
MLO_00000148,54,North America,IT,Executive,Small,11,1,9.27,0.35,1,1,Other,High,51.42
MLO_00000149,45,Europe,Manufacturing,Student,Medium,6,1,25.28,0.12,0,0,Paid Ads,Medium,26.72
MLO_00000150,36,Europe,Finance,Executive,Small,6,2,6.52,0.24,1,3,Social Media,Low,59.07
MLO_00000151,53,South America,Manufacturing,Other,Medium,3,5,28.57,0.11,1,0,Social Media,Low,30.3
MLO_00000152,53,South America,IT,Executive,Small,8,3,24.97,0.21,2,3,Paid Ads,High,48.86
MLO_00000153,45,South America,Finance,Executive,Medium,3,3,11.42,0.17,3,3,Paid Ads,Low,49.68
MLO_00000154,33,Europe,Manufacturing,Executive,Medium,8,4,13.22,0.36,2,2,Organic,High,74.13
MLO_00000155,23,Asia,IT,Manager,Large,7,3,1.11,0.14,0,0,Referral,Medium,33.33
MLO_00000156,24,North America,Manufacturing,Freelancer,Large,6,0,8.29,0.3,0,3,Organic,High,37.18
MLO_00000157,58,Europe,Healthcare,Executive,Medium,6,2,9.39,0.22,0,1,Referral,Low,30.9
MLO_00000158,38,Asia,IT,Executive,Small,3,3,14.13,0.09,2,3,Organic,Medium,46.44
MLO_00000159,23,Europe,Manufacturing,Other,Medium,7,1,5.03,0.17,0,2,Referral,Medium,32.98
MLO_00000160,23,North America,Healthcare,Other,Medium,4,2,14.88,0.12,1,0,Paid Ads,Medium,23.85
MLO_00000161,49,Europe,Healthcare,Student,Large,4,3,20.39,0.17,1,3,Referral,Medium,52.27
MLO_00000162,44,North America,IT,Student,Small,10,4,11.77,0.15,2,4,Social Media,Medium,88.66
MLO_00000163,58,Europe,Retail,Other,Small,6,4,7.73,0.22,0,4,Other,Medium,50.54
MLO_00000164,53,North America,Finance,Freelancer,Medium,2,3,16.88,0.35,0,3,Social Media,Low,37.5
MLO_00000165,54,Europe,IT,Student,Medium,4,1,1.84,0.16,1,0,Referral,High,20.81
MLO_00000166,22,North America,Healthcare,Freelancer,Small,3,3,10.88,0.14,1,2,Referral,Low,47.62
MLO_00000167,40,South America,Healthcare,Other,Medium,9,0,16.3,0.19,1,1,Referral,Low,42.63
MLO_00000168,23,Europe,IT,Student,Medium,6,3,10.74,0.22,1,0,Other,Low,36.06
MLO_00000169,47,Europe,Retail,Executive,Large,3,2,11.02,0.17,2,2,Other,Low,36.98
MLO_00000170,53,Asia,Finance,Other,Medium,7,4,25.6,0.12,1,3,Organic,Low,64.97
MLO_00000171,27,Asia,Manufacturing,Student,Small,5,4,28.09,0.33,0,1,Referral,High,41.68
MLO_00000172,53,North America,IT,Freelancer,Small,7,3,24.99,0.31,1,0,Organic,Low,41.92
MLO_00000173,25,Europe,Finance,Freelancer,Small,7,1,3.87,0.24,0,3,Social Media,Low,29.92
MLO_00000174,32,North America,Finance,Student,Medium,2,5,9.4,0.4,1,1,Other,Medium,49.09
MLO_00000175,38,South America,Healthcare,Freelancer,Medium,7,2,21.63,0.5,2,3,Paid Ads,Medium,62.27
MLO_00000176,59,Asia,Manufacturing,Student,Small,3,2,29.26,0.38,3,4,Other,Low,60.08
MLO_00000177,45,North America,IT,Student,Medium,7,2,8.03,0.04,0,4,Organic,High,47.1
MLO_00000178,26,North America,Healthcare,Freelancer,Medium,5,2,27.05,0.28,0,2,Paid Ads,Medium,43.48
MLO_00000179,55,Asia,Healthcare,Manager,Small,8,1,22.43,0.17,2,1,Paid Ads,Low,30.2
MLO_00000180,27,Europe,Retail,Executive,Small,3,3,29.52,0.21,1,4,Paid Ads,Medium,42.18
MLO_00000181,43,North America,Finance,Other,Large,7,1,3.71,0.09,1,3,Other,High,55.83
MLO_00000182,32,Asia,IT,Executive,Small,4,7,12.45,0.28,1,2,Referral,Low,50.88
MLO_00000183,37,Europe,IT,Other,Medium,3,5,14.87,0.42,0,4,Paid Ads,Low,52.22
MLO_00000184,54,South America,IT,Other,Medium,3,1,20.49,0.24,2,2,Social Media,Low,45.58
MLO_00000185,30,Asia,Healthcare,Executive,Medium,2,1,19.97,0.35,0,1,Social Media,Medium,24.22
MLO_00000186,27,North America,Retail,Student,Medium,9,4,27.28,0.28,0,4,Paid Ads,Medium,64.59
MLO_00000187,37,South America,Manufacturing,Freelancer,Medium,10,2,25.32,0.33,3,4,Social Media,Low,84.57
MLO_00000188,50,Europe,Healthcare,Manager,Large,7,2,2.61,0.02,2,0,Social Media,Medium,32.95
MLO_00000189,24,Europe,Manufacturing,Manager,Large,7,3,15.11,0.29,1,0,Social Media,Medium,38.46
MLO_00000190,41,Asia,Retail,Manager,Medium,4,1,12.8,0.33,0,1,Organic,High,32.8
MLO_00000191,57,Asia,Finance,Executive,Small,4,9,29.92,0.42,0,1,Organic,Medium,60.15
MLO_00000192,40,Asia,IT,Executive,Small,5,4,13.39,0.11,2,0,Social Media,High,47.13
MLO_00000193,47,Europe,Manufacturing,Student,Medium,3,2,20.8,0.41,2,4,Referral,Medium,51.49
MLO_00000194,24,South America,Healthcare,Manager,Medium,7,4,9.25,0.22,1,2,Social Media,Medium,54.39
MLO_00000195,40,Europe,Manufacturing,Student,Small,4,4,18.82,0.27,0,1,Organic,Medium,37.16
MLO_00000196,41,North America,Finance,Manager,Small,4,7,6.99,0.34,4,0,Paid Ads,Medium,62.13
MLO_00000197,53,Europe,IT,Executive,Medium,4,1,18.5,0.34,2,2,Social Media,Medium,35.19
MLO_00000198,28,North America,Manufacturing,Freelancer,Small,8,2,26.18,0.08,1,0,Other,High,32.91
MLO_00000199,54,South America,Finance,Freelancer,Medium,5,7,1.56,0.26,0,3,Organic,Medium,56.92
MLO_00000200,39,Asia,Healthcare,Freelancer,Medium,3,3,15.63,0.14,0,4,Organic,High,50.39
MLO_00000201,22,Asia,Retail,Freelancer,Medium,11,3,29.49,0.26,1,2,Organic,Low,63.56
MLO_00000202,32,Europe,Healthcare,Other,Small,7,6,5.62,0.19,0,0,Paid Ads,Low,47.94
MLO_00000203,49,Asia,IT,Manager,Small,5,0,6.32,0.08,2,2,Other,Low,34.35
MLO_00000204,46,South America,Healthcare,Freelancer,Small,6,7,14.65,0.15,3,3,Other,High,68.96
MLO_00000205,44,Asia,Healthcare,Other,Small,2,4,26.26,0.31,4,3,Other,Medium,63.89
MLO_00000206,52,Europe,Healthcare,Other,Medium,1,3,17.32,0.28,0,4,Organic,High,49.95
MLO_00000207,51,South America,Healthcare,Other,Medium,3,2,15.75,0.14,2,0,Social Media,Medium,24.53
MLO_00000208,56,North America,IT,Student,Small,5,1,3.52,0.19,0,0,Social Media,High,25.2
MLO_00000209,28,Europe,Finance,Student,Small,7,5,28.9,0.27,1,0,Other,Low,45.68
MLO_00000210,37,North America,Manufacturing,Other,Small,3,4,11.07,0.28,2,1,Organic,High,45.0
MLO_00000211,47,South America,Retail,Freelancer,Large,4,7,8.3,0.32,1,4,Social Media,High,67.86
MLO_00000212,23,Europe,Manufacturing,Manager,Medium,2,1,12.94,0.27,3,3,Referral,High,48.7
MLO_00000213,22,Europe,Manufacturing,Executive,Large,5,3,13.01,0.31,3,4,Social Media,Medium,65.22
MLO_00000214,33,South America,Retail,Student,Large,2,4,14.3,0.24,3,1,Social Media,Medium,43.46
MLO_00000215,26,Asia,IT,Freelancer,Medium,5,3,20.97,0.3,1,0,Referral,High,27.66
MLO_00000216,58,Europe,Retail,Freelancer,Medium,7,5,26.17,0.41,2,3,Social Media,Medium,72.27
MLO_00000217,53,Europe,IT,Executive,Small,3,1,2.66,0.41,3,0,Paid Ads,Low,41.02
MLO_00000218,30,North America,Manufacturing,Executive,Medium,6,3,15.23,0.25,1,1,Organic,Medium,43.49
MLO_00000219,56,Asia,IT,Freelancer,Small,3,2,13.01,0.13,1,1,Paid Ads,Medium,29.0
MLO_00000220,40,North America,Finance,Executive,Large,10,2,1.32,0.38,0,0,Paid Ads,Medium,51.56
MLO_00000221,37,North America,Retail,Freelancer,Small,5,4,24.68,0.02,0,0,Organic,Medium,38.92
MLO_00000222,24,Asia,Finance,Executive,Medium,3,8,4.03,0.3,2,2,Paid Ads,High,71.14
MLO_00000223,41,Asia,Manufacturing,Executive,Small,7,2,4.33,0.3,1,3,Social Media,High,54.72
MLO_00000224,45,South America,Retail,Freelancer,Large,3,5,2.4,0.25,2,3,Other,Low,58.1
MLO_00000225,54,Asia,Manufacturing,Other,Small,5,3,6.81,0.29,2,4,Other,Medium,54.55
MLO_00000226,45,Europe,Finance,Freelancer,Medium,4,3,6.13,0.12,1,4,Paid Ads,High,38.16
MLO_00000227,32,Asia,Manufacturing,Manager,Medium,7,3,11.09,0.14,1,1,Other,Medium,51.1
MLO_00000228,29,South America,Retail,Executive,Small,4,2,20.12,0.12,2,3,Paid Ads,Low,46.68
MLO_00000229,57,South America,Retail,Student,Medium,4,3,2.57,0.13,3,1,Organic,Medium,65.38
MLO_00000230,59,South America,Manufacturing,Executive,Large,3,4,25.95,0.18,1,0,Referral,High,29.54
MLO_00000231,41,Asia,Retail,Manager,Small,6,6,10.47,0.23,2,3,Paid Ads,Low,70.39
MLO_00000232,56,Asia,Retail,Student,Large,10,0,18.59,0.35,1,1,Referral,Medium,50.45
MLO_00000233,46,North America,Manufacturing,Student,Medium,3,5,1.35,0.45,2,2,Social Media,Medium,53.6
MLO_00000234,56,North America,Finance,Freelancer,Large,5,1,11.61,0.17,1,2,Organic,Medium,34.78
MLO_00000235,46,Europe,Retail,Other,Small,4,6,1.06,0.24,1,3,Other,Medium,57.31
MLO_00000236,50,North America,Retail,Freelancer,Medium,5,4,5.8,0.26,1,3,Paid Ads,Medium,51.71
MLO_00000237,39,Europe,Retail,Student,Large,2,0,13.99,0.16,1,4,Paid Ads,High,37.35
MLO_00000238,39,South America,Retail,Student,Medium,3,4,16.52,0.2,2,3,Social Media,Low,53.05
MLO_00000239,23,North America,Manufacturing,Other,Medium,4,6,5.43,0.42,0,4,Organic,Medium,50.58
MLO_00000240,56,Asia,Finance,Executive,Small,6,2,22.61,0.37,1,2,Referral,Medium,47.86
MLO_00000241,37,North America,Finance,Other,Small,7,1,6.48,0.38,0,2,Organic,Low,43.68
MLO_00000242,57,Europe,IT,Freelancer,Medium,4,0,4.36,0.31,1,2,Social Media,High,33.52
MLO_00000243,54,North America,Retail,Executive,Medium,7,9,10.67,0.33,0,0,Referral,Medium,69.31
MLO_00000244,25,South America,Retail,Freelancer,Medium,4,9,16.99,0.29,0,3,Referral,Medium,67.76
MLO_00000245,54,Asia,IT,Other,Small,5,2,29.68,0.41,2,2,Paid Ads,Medium,50.7
MLO_00000246,35,Europe,Finance,Executive,Medium,6,2,13.14,0.0,4,4,Paid Ads,Medium,67.77
MLO_00000247,42,Asia,Healthcare,Other,Small,9,2,13.35,0.14,2,4,Organic,Low,76.87
MLO_00000248,41,Asia,Healthcare,Manager,Medium,3,4,2.72,0.1,0,1,Referral,Low,30.26
MLO_00000249,29,Europe,Finance,Student,Large,9,4,23.21,0.18,0,1,Paid Ads,High,53.76
MLO_00000250,28,Asia,Retail,Executive,Medium,6,5,6.27,0.26,0,0,Referral,Medium,51.99
MLO_00000251,24,Asia,Healthcare,Student,Small,2,3,22.6,0.24,1,4,Referral,Medium,46.29
MLO_00000252,38,North America,Manufacturing,Manager,Large,9,2,27.41,0.16,3,1,Other,Medium,47.12
MLO_00000253,54,Asia,Manufacturing,Executive,Medium,4,3,23.28,0.27,0,3,Paid Ads,High,46.23
MLO_00000254,33,Asia,IT,Student,Medium,5,1,19.63,0.28,0,3,Paid Ads,Low,47.12
MLO_00000255,43,Asia,Finance,Student,Small,5,1,18.51,0.3,3,3,Paid Ads,Medium,52.2
MLO_00000256,43,Asia,Finance,Executive,Medium,4,2,14.16,0.33,3,3,Other,Low,62.41
